name,type,rating,price,address,zipCode,note,coordinates
pioneer chicken la,chicken,4.4,1,904 s soto st,90023,,"34.034295079874624, -118.21550390391457"
restaurante tierra caliente,mexican,4.6,2,2910 division st,90065,,"34.10296686736898, -118.23582424992246"
gish bac,mexican,4.2,2,4163 w washington blvd,90018,oaxacan food,"34.040255440966895, -118.33014066343118"
jerusalem chicken,chicken,4.5,2,4448 w slauson ave,90043,,"33.9887896284822, -118.35351346344335"
rosalinds,ethiopian,4.5,1,1044 s fairfax ave,90019,,"34.05708245417609, -118.36421280760389"
sushi chitose,sushi,4.6,2,402 s pacific coast hwy,90277,,"33.83626132725697, -118.38494537882048"
full proof pizza,pizza,4.7,1,11918 w washington blvd,90066,,"33.997828206289746, -118.42029356344113"
bronx sandwich company,sandwich,4.5,2,949 s euclid st,92802,,"33.81857808946247, -117.94243810581251"
amboy quality meats and delicious burgers,hamburger,4.6,2,727 n broadway no 117,90012,,"34.061589643771406, -118.23970372294414"
monroe place,sandwich,4.7,2,8541 washington blvd,90232,,"34.031127905437636, -118.3803468211041"
tacos tamix taco truck,mexican,4.3,1,1998-1982 s hoover st,90007,,"34.038329244401766, -118.28380909411423"
anajak thai cuisine,thai,4.3,2,14704 ventura blvd,91403,,"34.1516895780952, -118.45331444806365"
ditroit taqueria,mexican,4.3,1,2117 violet st,90021,,"34.03325272687916, -118.22907610760946"
death and co,bar,4.6,3,818 e 3rd st,90013,,"34.04592161885607, -118.23572142110045"
la cha cha cha,bar,4.4,3,812 e 3rd st,90013,,"34.04597142889263, -118.23586040760655"
